,Unnamed: 0,id,sentiment,date
0,0,1598332657032536064,0.0,Nov 30
1,1,1598332343600943104,0.0,Nov 30
2,2,1598330641594175488,65.0,Nov 30
3,3,1598330384424390656,-38.0,Nov 30
4,4,1598329285932191744,0.0,Nov 30
5,5,1598329006188904448,0.0,Nov 30
6,6,1598328962803204096,0.0,Nov 30
7,7,1598328879931760640,54.0,Nov 30
8,8,1598328315797987328,46.0,Nov 30
9,9,1598326919870676992,44.0,Nov 30
10,10,1598326905975246848,54.0,Nov 30
11,11,1598326658846670848,15.0,Nov 30
12,12,1598324279157956608,90.0,Nov 30
13,13,1598323372945031168,25.0,Nov 30
14,14,1598322584034189312,90.0,Nov 30
15,15,1598322136229318656,62.0,Nov 30
16,16,1598322079367135232,0.0,Nov 30
17,17,1598321392407416832,30.0,Nov 30
18,18,1598321089326845952,61.0,Nov 30
19,19,1598320432783974400,72.0,Nov 30
20,20,1598320346603692032,81.0,Nov 30
21,21,1598320326924173312,-5.0,Nov 30
22,22,1598320215586398208,-64.0,Nov 30
23,23,1598320208900493312,76.0,Nov 30
24,24,1598320200646070272,67.0,Nov 30
25,25,1598320123588349952,-3.0,Nov 30
26,26,1598319843761160192,0.0,Nov 30
27,27,1598319272580759552,0.0,Nov 30
28,28,1598318304124444672,89.0,Nov 30
29,29,1598318118593593344,73.0,Nov 30
30,30,1598317903320956928,64.0,Nov 30
31,31,1598317755266387968,-40.0,Nov 30
32,32,1598317153169596416,49.0,Nov 30
33,33,1598316584988250112,-46.0,Nov 30
34,34,1598316387562409984,32.0,Nov 30
35,35,1598316028269830144,94.0,Nov 30
36,36,1598314700751740928,-4.0,Nov 30
37,37,1598313657305292800,59.0,Nov 30
38,38,1598313213283688448,0.0,Nov 30
39,39,1598313140160176128,84.0,Nov 30
40,40,1598312994345197568,0.0,Nov 30
41,41,1598312921398153216,-18.0,Nov 30
42,42,1598312539338596352,68.0,Nov 30
43,43,1598312391938396160,48.0,Nov 30
44,44,1598312021526814720,3.0,Nov 30
45,45,1598311851099553792,0.0,Nov 30
46,46,1598311739745095680,49.0,Nov 30
47,47,1598310982061010944,0.0,Nov 30
48,48,1598310573208485888,91.0,Nov 30
49,49,1598309973943275520,34.0,Nov 30
50,50,1598309403249475584,44.0,Nov 30
51,51,1598308576438665216,68.0,Nov 30
52,52,1598308374516482048,66.0,Nov 30
53,53,1598308208925343744,-14.0,Nov 30
54,54,1598307511748427776,38.0,Nov 30
55,55,1598307431691558912,0.0,Nov 30
56,56,1598307139772207104,0.0,Nov 30
57,57,1598306868341923840,86.0,Nov 30
58,58,1598306615740231680,0.0,Nov 30
59,59,1598305877374767104,-56.0,Nov 30
60,60,1598305587191844864,49.0,Nov 30
61,61,1598305289039642624,88.0,Nov 30
62,62,1598304298181758976,64.0,Nov 30
63,63,1598304123249905664,85.0,Nov 30
64,64,1598303991502229504,64.0,Nov 30
65,65,1598302784621023232,40.0,Nov 30
66,66,1598302405728374784,0.0,Nov 30
67,67,1598302321662128128,36.0,Nov 30
68,68,1598301815078281216,0.0,Nov 30
69,69,1598301792894582784,-56.0,Nov 30
70,70,1598300204574261248,0.0,Nov 30
71,71,1598300053499936768,0.0,Nov 30
72,72,1598300026270543872,0.0,Nov 30
73,73,1598299967072129024,0.0,Nov 30
74,74,1598299681913966592,-86.0,Nov 30
75,75,1598299501214994432,70.0,Nov 30
76,76,1598299131570950144,0.0,Nov 30
77,77,1598298983008718848,81.0,Nov 30
78,78,1598298796651606016,0.0,Nov 30
79,79,1598298432262635520,83.0,Nov 30
80,80,1598297889490583552,0.0,Nov 30
81,81,1598297496517738496,44.0,Nov 30
82,82,1598297329702170624,70.0,Nov 30
83,83,1598296811101655040,0.0,Nov 30
84,84,1598295257502093312,0.0,Nov 30
85,85,1598294962868977664,82.0,Nov 30
86,86,1598294762767151104,95.0,Nov 30
87,87,1598293189311746048,0.0,Nov 30
88,88,1598291451346972672,-53.0,Nov 30
89,89,1598291450134810624,28.0,Nov 30
90,90,1598290959699435520,-30.0,Nov 30
91,91,1598290811292385280,59.0,Nov 30
92,92,1598290230322532352,51.0,Nov 30
93,93,1598289985924468736,0.0,Nov 30
94,94,1598289868719034368,40.0,Nov 30
95,95,1598288631210610688,44.0,Nov 30
96,96,1598288445478432768,-71.0,Nov 30
97,97,1598287892878872576,0.0,Nov 30
98,98,1598287520101412864,0.0,Nov 30
99,99,1598287106157473792,57.0,Nov 30
100,0,1598286932592787456,85.0,Nov 30
101,1,1598286107468189696,93.0,Nov 30
102,2,1598285541467951104,92.0,Nov 30
103,3,1598285363222831104,0.0,Nov 30
104,4,1598284366429683712,78.0,Nov 30
105,5,1598283825620160512,73.0,Nov 30
106,6,1598283202769977344,53.0,Nov 30
107,7,1598283195992379392,-48.0,Nov 30
108,8,1598282613202227200,32.0,Nov 30
109,9,1598281156633710592,70.0,Nov 30
110,10,1598277709461061632,0.0,Nov 30
111,11,1598277434142388224,84.0,Nov 30
112,12,1598276460196036608,-15.0,Nov 30
113,13,1598276419075080192,-24.0,Nov 30
114,14,1598275037844615168,71.0,Nov 30
115,15,1598273324072992768,36.0,Nov 30
116,16,1598271831739600896,46.0,Nov 30
117,17,1598271702827515904,57.0,Nov 30
118,18,1598271451332845568,57.0,Nov 30
119,19,1598271264455806976,57.0,Nov 30
120,20,1598271094452285440,57.0,Nov 30
121,21,1598270949060509696,57.0,Nov 30
122,22,1598270809562546176,57.0,Nov 30
123,23,1598270685587001344,95.0,Nov 30
124,24,1598270594659004416,57.0,Nov 30
125,25,1598270503579488256,57.0,Nov 30
126,26,1598270254614196224,57.0,Nov 30
127,27,1598269761384857600,57.0,Nov 30
128,28,1598269597798793216,57.0,Nov 30
129,29,1598269483453657088,69.0,Nov 30
130,30,1598269375001243648,57.0,Nov 30
131,31,1598269167832281088,57.0,Nov 30
132,32,1598269037192306688,57.0,Nov 30
133,33,1598268859802214400,57.0,Nov 30
134,34,1598268753480802304,57.0,Nov 30
135,35,1598268616797224960,57.0,Nov 30
136,36,1598268496894660608,57.0,Nov 30
137,37,1598268350463094784,57.0,Nov 30
138,38,1598268241767698432,57.0,Nov 30
139,39,1598268144472276992,57.0,Nov 30
140,40,1598268030697758720,57.0,Nov 30
141,41,1598267958224035840,57.0,Nov 30
142,42,1598267876590641152,57.0,Nov 30
143,43,1598267694645903360,57.0,Nov 30
144,44,1598267517704642560,57.0,Nov 30
145,45,1598267469822853120,57.0,Nov 30
146,46,1598266083735400448,60.0,Nov 30
147,47,1598265282816274432,0.0,Nov 30
148,48,1598264688890236928,59.0,Nov 30
149,49,1598264686151360512,78.0,Nov 30
150,50,1598263906463805440,62.0,Nov 30
151,51,1598263206266695680,0.0,Nov 30
152,52,1598262979409100800,0.0,Nov 30
153,53,1598262400129839104,0.0,Nov 30
154,54,1598262178720747520,34.0,Nov 30
155,55,1598260831594381312,0.0,Nov 30
156,56,1598259147283509248,67.0,Nov 30
157,57,1598258940822884352,0.0,Nov 30
158,58,1598258186125213696,0.0,Nov 30
159,59,1598257721647968256,0.0,Nov 30
160,60,1598256795554058240,78.0,Nov 30
161,61,1598256722568691712,0.0,Nov 30
162,62,1598255803781500928,53.0,Nov 30
163,63,1598255672755355648,64.0,Nov 30
164,64,1598255123763171328,72.0,Nov 30
165,65,1598254684476784640,0.0,Nov 30
166,66,1598254366879686656,0.0,Nov 30
167,67,1598252744749350912,0.0,Nov 30
168,68,1598252401521147904,-10.0,Nov 30
169,69,1598252316896862208,5.0,Nov 30
170,70,1598252208893534208,-60.0,Nov 30
171,71,1598252152216244224,0.0,Nov 30
172,72,1598252107928244224,20.0,Nov 30
173,73,1598252035975294976,0.0,Nov 30
174,74,1598251608722223104,38.0,Nov 30
175,75,1598251101081325568,38.0,Nov 30
176,76,1598250373571026944,-10.0,Nov 30
177,77,1598250212166111232,0.0,Nov 30
178,78,1598249937510096896,-21.0,Nov 30
179,79,1598248942135054336,27.0,Nov 30
180,80,1598248219687145472,0.0,Nov 30
181,81,1598248111096623104,0.0,Nov 30
182,82,1598247176224010240,0.0,Nov 30
183,83,1598245916817125376,0.0,Nov 30
184,84,1598244171604705280,-20.0,Nov 30
185,85,1598243997184831488,0.0,Nov 30
186,86,1598243627234660352,18.0,Nov 30
187,87,1598243604191150080,0.0,Nov 30
188,88,1598243583089336320,0.0,Nov 30
189,89,1598241086983794688,0.0,Nov 30
190,90,1598238875461517312,70.0,Nov 30
191,91,1598236541935316992,-25.0,Nov 30
192,92,1598236536889569280,41.0,Nov 30
193,93,1598235788411834368,0.0,Nov 30
194,94,1598233232851730432,91.0,Nov 30
195,95,1598232979670962176,20.0,Nov 30
196,96,1598232372557799424,87.0,Nov 30
197,97,1598231963563094016,36.0,Nov 30
198,98,1598231811607629824,75.0,Nov 30
199,0,1598230147962122240,85.0,Nov 30
200,1,1598230060980645888,24.0,Nov 30
201,2,1598229903279034368,70.0,Nov 30
202,3,1598229796508798976,0.0,Nov 30
203,4,1598229728733057024,30.0,Nov 30
204,5,1598229347042738176,76.0,Nov 30
205,6,1598229243548139520,10.0,Nov 30
206,7,1598227373140619264,-63.0,Nov 30
207,8,1598225711772622848,0.0,Nov 30
208,9,1598224881006440448,90.0,Nov 30
209,10,1598224734441082880,27.0,Nov 30
210,11,1598224484993232896,0.0,Nov 30
211,12,1598224143824326656,40.0,Nov 30
212,13,1598224095971344384,0.0,Nov 30
213,14,1598221388652826624,73.0,Nov 30
214,15,1598220918395764736,0.0,Nov 30
215,16,1598220582512099328,0.0,Nov 30
216,17,1598218615983333376,8.0,Nov 30
217,18,1598213669003091968,72.0,Nov 30
218,19,1598211793301561344,70.0,Nov 30
219,20,1598211396084563968,20.0,Nov 30
220,21,1598210650404446208,92.0,Nov 30
221,22,1598210114829574144,0.0,Nov 30
222,23,1598206989095796736,38.0,Nov 30
223,24,1598206739941584896,49.0,Nov 30
224,25,1598206223505293312,46.0,Nov 30
