,edit_history_tweet_ids,id,tweet,sentiment
0,['1600484086883180545'],1600484086883180544,Love this application of #ChatGPT as a way of democratising access to specialised (read: jargon-heavy) knowledge. https://t.co/FdmqbZED9R,63.690000000000005
1,['1600483847325749248'],1600483847325749248,"Technology is inversely proportional to employment

#chatGPT #artificalintelligence",0.0
2,['1600483805848035333'],1600483805848035328,"ChatGPT and AI is here!

https://t.co/2wcJLmtlKp

@nDapp #nDapp #NEO @meme2earn_com  #Memes #ChatGPT #AI",0.0
3,['1600483752173600770'],1600483752173600768,Let’s dive into #ChatGPT #OpenAI,0.0
4,['1600483476821647361'],1600483476821647360,#ChatGPT answers the age old Bros question. https://t.co/CGfrLuV5n9,0.0
5,['1600483463131705346'],1600483463131705344,"#AI Could Challenge Alphabet's Search Dominance But Not Immediately

@ronald_vanloon 

#alphabets #alphabet #cash #value #google #chatgpt #something 

https://t.co/PBEvJJe7L9",56.47
6,['1600483409113108480'],1600483409113108480,"Rap song about doing proper Recon in Bug Bounty by #ChatGPT  😂

#bugBounty #BugBountyTips #Recon #openAI https://t.co/bC0emOSf22",44.04
7,['1600483330738331656'],1600483330738331648,#ChatGPT clearly did an MBA,40.19
8,['1600483257765838848'],1600483257765838848,We asked #ChatGPT to represent a melting ice cap and come up with ideas for artworks about the #climate crisis. Check out what happens. Collab with Jeroen van der Most @Artist_Most More info: https://t.co/sL5sd3dqh9 #ai #climatechange #climatecrisis #lettersfromnature #Latour https://t.co/czmYpreFLH,-62.49
9,['1600483224471355392'],1600483224471355392,"@starke_jeremy Cherry-picking a handful, it matches official sources.

Now, I've also noticed some discrepancies.

Is it because #ChatGPT is fetching that data from a different source or pure hallucination, I'm not sure.",-24.11
10,['1600483207220465664'],1600483207220465664,@muskQu0tes  @elonmusk from openAI #ChatGPT https://t.co/wG23Sjxqrv,0.0
11,['1600483121660583938'],1600483121660583936,"Everybody is talking about ChatGPT, but nobody is explaining to you how it works.
Here we go. #ChatGPT https://t.co/eG99k4Xq1m",0.0
12,['1600483059320627208'],1600483059320627200,"@saurabhakumaar The fact that #ChatGPT is FREE and not ad-driven or monetized by Likes is a BIG DEAL. If it continues to develop as a not-for-profit lab project like it is now, then there’s hope that it will be resistant to poltical bias.",89.64
13,['1600483053129940995'],1600483053129940992,"🔥On Regulating Artificial Intelligence: if you have not been hibernating in the last few days, then you heard of #ChatGPT, the AI tool developed by @OpenAI. As @sama said, in less than one week, they went from zero to one million users.

1/11",47.67
14,['1600482985073065985'],1600482985073065984,"Tried #ChatGPT to see if it can write an essay, and the results are impressive. It's exciting to see the applications of #ArtificialIntelligence ! 
#openai #OpenAIChatGPT #ai https://t.co/U4XWSqvGa6",77.77
15,['1600482971303411712'],1600482971303411712,Do you like the Phala song written by #ChatGPT ? https://t.co/hPOgUB4Z8s,36.120000000000005
16,['1600482934879911936'],1600482934879911936,"Be afraid, be very afraid #1 of #2... or maybe more...

#ChatGPT applied to #DatingApps  and #dating https://t.co/DCBqwZ0Stc",0.0
